2023-08-27 00:00:11	[Battle Log] Ending Misson Begin
2023-08-27 00:00:11	[Battle Log] battle is ending. now member count=0:0
2023-08-27 00:00:11	[Battle Log] Sorting World Ladder
2023-08-27 00:00:11	[Battle Log] Awarding Activity
2023-08-27 00:00:11	[Battle Log] Awarding Single Player
2023-08-27 00:00:11	[Battle Log] Awarding by Result
2023-08-27 00:00:11	Khu vùc S¬ cÊp ChiÕn sù ®· kÕt thóc, phe Tèng giµnh ®­îc th¾ng lîi!
2023-08-27 00:00:11	Do phe b¹i kh«ng cã ng­êi ch¬i, phe th¾ng kh«ng ®­îc tÆng th­ëng!
2023-08-27 00:00:11	[Battle Log] Ready for kick Out
2023-08-27 00:00:11	[Battle Log] Ending Misson End
2023-08-27 00:00:11	[Battle Log] Ending Misson Begin
2023-08-27 00:00:11	[Battle Log] battle is ending. now member count=0:0
2023-08-27 00:00:11	[Battle Log] Sorting World Ladder
2023-08-27 00:00:11	[Battle Log] Awarding Activity
2023-08-27 00:00:11	[Battle Log] Awarding Single Player
2023-08-27 00:00:11	[Battle Log] Awarding by Result
2023-08-27 00:00:11	Khu vùc Trung cÊp ChiÕn sù ®· kÕt thóc, phe Tèng giµnh ®­îc th¾ng lîi!
2023-08-27 00:00:11	Do phe b¹i kh«ng cã ng­êi ch¬i, phe th¾ng kh«ng ®­îc tÆng th­ëng!
2023-08-27 00:00:11	[Battle Log] Ready for kick Out
2023-08-27 00:00:11	[Battle Log] Ending Misson End
2023-08-27 00:00:11	[Battle Log] Ending Misson Begin
2023-08-27 00:00:11	[Battle Log] battle is ending. now member count=0:0
2023-08-27 00:00:11	[Battle Log] Sorting World Ladder
2023-08-27 00:00:11	[Battle Log] Awarding Activity
2023-08-27 00:00:11	[Battle Log] Awarding Single Player
2023-08-27 00:00:11	[Battle Log] Awarding by Result
2023-08-27 00:00:11	Khu vùc Cao cÊp ChiÕn sù ®· kÕt thóc, phe Tèng giµnh ®­îc th¾ng lîi!
2023-08-27 00:00:11	Do phe b¹i kh«ng cã ng­êi ch¬i, phe th¾ng kh«ng ®­îc tÆng th­ëng!
2023-08-27 00:00:11	[Battle Log] Ready for kick Out
2023-08-27 00:00:11	[Battle Log] Ending Misson End
2023-08-27 00:00:27	Bau cua lan nay tong tien van dat 0 thua 0
2023-08-27 00:00:27	Bau cua lan nay tong tien don dat 0 thua 0
2023-08-27 00:00:51	1	tungns	LoginPrize	14	0	Get award 1	nExp		1000000		53
2023-08-27 00:02:27	Bau cua lan nay tong tien van dat 0 thua 0
2023-08-27 00:02:27	Bau cua lan nay tong tien don dat 0 thua 0
2023-08-27 00:04:27	Bau cua lan nay tong tien van dat 0 thua 0
2023-08-27 00:04:27	Bau cua lan nay tong tien don dat 0 thua 0
2023-08-27 00:06:27	Bau cua lan nay tong tien van dat 0 thua 0
2023-08-27 00:06:27	Bau cua lan nay tong tien don dat 0 thua 0
2023-08-27 00:08:27	Bau cua lan nay tong tien van dat 0 thua 0
2023-08-27 00:08:27	Bau cua lan nay tong tien don dat 0 thua 0
2023-08-27 00:10:27	Bau cua lan nay tong tien van dat 0 thua 0
2023-08-27 00:10:27	Bau cua lan nay tong tien don dat 0 thua 0
2023-08-27 00:12:27	Bau cua lan nay tong tien van dat 0 thua 0
2023-08-27 00:12:27	Bau cua lan nay tong tien don dat 0 thua 0
2023-08-27 00:16:17	[UseItemSucc]	1970-01-01 08:00	Account:ScriptAutoTest	Name:testname	ItemName:testItem.
2023-08-27 00:16:18	[1970-01-01 08:00:00] Register [ThÝ LuyÖn §­êng] dungeon, templet mapid is [925].
2023-08-27 00:17:14	9	TÐtgamet	npctest	1	0	award		AddItemEx(4,-1053934261,0,6,1,1266,1,0,0,0,0,0,0,0,0,0)	1		53
2023-08-27 00:17:14	9	TÐtgamet	npctest	1	0	award		AddItemEx(4,-1589201828,0,6,1,438,1,0,0,0,0,0,0,0,0,0)	1		53
2023-08-27 00:17:14	9	TÐtgamet	npctest	1	0	award		AddItemEx(4,1942612177,0,6,1,5122,1,0,0,0,0,0,0,0,0,0)	1		53
2023-08-27 00:17:14	9	TÐtgamet	npctest	1	0	award		AddItemEx(4,-1865197382,0,6,1,5123,1,0,0,0,0,0,0,0,0,0)	1		53
2023-08-27 00:17:14	9	TÐtgamet	npctest	1	0	award		AddItemEx(4,1354706023,0,6,1,5124,1,0,0,0,0,0,0,0,0,0)	1		53
2023-08-27 00:17:18	clean TÐtgamet(Level:1) Tong Contribution old value is 0 new value is 0
2023-08-27 00:21:03	Player Get 90 Skill. szAccount = %s, szName = %s, nFacId = %d, nLv = %d, nSkillId = %d, nSkillLv = %d
2023-08-27 00:21:03	Player Get 90 Skill. szAccount = %s, szName = %s, nFacId = %d, nLv = %d, nSkillId = %d, nSkillLv = %d
2023-08-27 00:21:03	Player Get 90 Skill. szAccount = %s, szName = %s, nFacId = %d, nLv = %d, nSkillId = %d, nSkillLv = %d
2023-08-27 00:22:09	[§¹i Thµnh BÝ KÝp 90]	2023-08-27 00:22:09	Account:9	Name:TÐtgamet	UpGrade Skill:362
2023-08-27 00:24:04	9	TÐtgamet	Håi thiªn t¸i t¹o lÔ bao	150	0	award	Håi Thiªn T¸i T¹o §¬n	AddItemEx(4,-777974386,0,1,8,0,4,0,0,0,0,0,0,0,0,0)	34		53
2023-08-27 00:25:15	Player Get 90 Skill. szAccount = %s, szName = %s, nFacId = %d, nLv = %d, nSkillId = %d, nSkillLv = %d
2023-08-27 00:25:15	Player Get 90 Skill. szAccount = %s, szName = %s, nFacId = %d, nLv = %d, nSkillId = %d, nSkillLv = %d
2023-08-27 00:25:15	Player Get 90 Skill. szAccount = %s, szName = %s, nFacId = %d, nLv = %d, nSkillId = %d, nSkillLv = %d
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1473,3245
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1518,3068
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1441,3300
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1483,3261
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1505,3073
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1487,3022
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1508,3063
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1504,3028
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1504,3010
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1502,3262
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1498,3325
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1466,3065
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1480,3021
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1534,3323
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	1,1473,3245
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,2940,5194
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,3348,4876
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,2923,5235
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,3272,4852
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,2964,5158
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,3280,4864
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,3370,4895
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,2949,5257
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,3299,4813
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,2909,5243
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,3308,4800
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,2979,5233
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,2894,5186
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,2963,5231
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	11,3349,4957
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1570,3285
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1562,2889
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1513,2922
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1572,3236
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1509,3289
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1593,3275
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1478,2897
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1513,2922
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1582,3277
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1590,3257
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1521,2900
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1498,2906
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1529,2960
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1583,3253
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	37,1518,2934
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1413,3345
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1359,3444
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1370,3145
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1407,3359
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1350,3458
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1442,3139
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1377,3418
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1370,3145
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1394,3357
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1425,3135
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1345,3147
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1429,3096
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1366,3156
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1420,3149
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	78,1394,3357
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1562,3315
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1521,3287
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1816,3348
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1792,3371
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1562,3360
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1763,3354
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1766,3333
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1574,3359
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1518,3302
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1497,3261
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1770,3284
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1539,3395
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1532,3329
2023-08-27 00:30:27	Sun Aug 27 00:30:27 2023	80,1780,3280
