名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1(0级)	魔法属性索引1(10级)	魔法属性索引2(0级)	魔法属性索引2(10级)	魔法属性索引3(0级)	魔法属性索引3(10级)	魔法属性索引4(0级)	魔法属性索引4(10级)	魔法属性索引5(0级)	魔法属性索引5(10级)	魔法属性索引6(0级)	魔法属性索引6(10级)	所在套装	6级技能ID	10级技能ID	扩展套装	扩展套装序号	扩展套装隐藏属性1	扩展套装隐藏属性2	可熔炼属性数量	可熔炼纹钢品质	基础兵甲值	是否可升星装备	可镶嵌星辰石数量	装备突破祝福值	注灵位置数量	显示图标ID
[天赐的]梦龙之正黄僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	白金装备，套装第一件	1	99999	10	0	30	360	360	31	85	85																36	120	32	160	39	0							2	616	624	624	46	591	311	598	599	601	450	450	1	768	798	1	1			2	7						
[天赐的]梦龙之金丝正红袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	白金装备，套装第二件	2	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	0							2	616	40	675	491	491	307	637	6	609	324	324	1	846	851	1	2			2	7						
[天赐的]梦龙之玄丝法带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	白金装备，套装第三件	0	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							418	4	309	639	651	651	311	598	416	641	417	31	1	775	807	1	3			2	7						
[天赐的]梦龙之佛法玄佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	白金装备，套装第四件	4	99999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			1	879	878	1	4			2	7						
[天赐的]梦龙之紫金般若戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	白金装备，套装第五件	0	99999	10	0	31	80	80																			36	120	39	0									759	784	307	637	718	8	309	639	785	785	786	786	1	901	907	1	5			2	7						
[天赐的]伏魔之紫金棍	0	0	2	\spr\item\equip\closeweapon\obj-staff15.spr	11	1	4	白金装备，套装第一件	0	99999	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	120	32	180	39	0							48	592	43	43	52	625	71	594	113	595	450	450	2	766	767	2	1			2	7						
[天赐的]伏魔之无量金刚腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	白金装备，套装第二件	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	0							2	616	307	637	762	762	423	642	787	787	788	788	2	902	908	2	2			2	7						
[天赐的]伏魔之乌金软绦	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	白金装备，套装第三件	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							418	4	309	639	652	652	311	598	416	641	417	31	2	776	808	2	3			2	7						
[天赐的]伏魔之佛心软扣	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	白金装备，套装第四件	1	99999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			2	881	880	2	4			2	7						
[天赐的]伏魔之普渡僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	白金装备，套装第五件	2	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	616	325	325	320	588	88	419	6	609	437	309	2	848	852	2	5			2	7						
[天赐的]四空之降魔戒刀	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	白金装备，套装第一件	0	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	0							2	616	43	43	48	592	71	593	113	595	450	450	3	766	767	3	1			2	7						
