talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
1	ChØ cã c«ng phu cña mÌo ba ch©n ng­¬i cßn häc ng­êi kh¸c x«ng vµo giang hå?	Nh©n huynh, sao ng­¬i võa nh×n thÊy mü n÷ hai m¾t liÒn táa s¸ng.	Ham muèn ph¸ ho¹i cña con ng­êi lµ rÊt khñng khiÕp, nh­ng th«ng qua thùc hµnh cã thÓ ®­îc gi¶i quyÕt.	Phong c¶nh cña Nga Nga S¬n næi tiÕng kh¾p thÕ giíi, ®Æc biÖt lµ phËt quang, nh×n thÊy phËt quang sÏ mang l¹i phóc khİ.	H«m qua t«i ®· uèng rÊt h¹nh phóc, b©y giê ®Çu h¬i cho¸ng v¸ng!	H«m nay b¹n cã mét mµu s¾c tèt!
2	T«i chØ lµm viÖc cho tiÒn.	Mçi buæi s¸ng vµ buæi tèi t«i sÏ sóc miÖng b»ng n­íc muèi, b¹n còng ph¶i ph¸t triÓn thãi quen nµy.	Than «i, cuéc sèng thùc sù ®Çy nçi buån vµ ®au ®ín!	Nh÷ng ®Ö tö C¸i Bang kia thËt sù lµ kh«ng cã lç hæng bÊt nhËp a, nµo còng cã thÓ nh×n thÊy th©n ¶nh cña bän hä.	MÊy ngµy tr­íc sau khi uèng say, ng· xuèng ven ®­êng ngñ, hiÖn t¹i ngÉu nhiªn c¶m thÊy phong hµn.	Kú thËt tæ tiªn nhµ ta còng tõng cã ng­êi lµm quan.
3	Anh lu«n ®øng xa nh­ vËy ®Ó lµm g×?! T«i chÕt råi, anh còng kh«ng sèng ®­îc sao!	T«i lµ khã chŞu nhÊt cña mïa ®«ng, mét con ®­êng tuyÕt ®ãng b¨ng, dÔ dµng ®Ó r¬i vµo giao dŞch.	T¹i sao t«i lu«n lu«n bá lì sè phËn cña t«i?	T«i thİch ngäc lôc b¶o nhÊt, mµu s¾c cña nã rÊt rùc rì, lµm cho mäi ng­êi yªu thİch.	Nh÷ng con chuét ë Thµnh §« mËp h¬n nh÷ng n¬i kh¸c, vµ cã vÎ nh­ cuéc sèng ë ®ã lµ tèt.	Lı do t¹i sao ng­êi phô n÷ t«i yªu rêi bá t«i chØ cã mét lı do, lµ t«i ®· qu¸ kh«ng biÕt tr©n träng.
4	§õng ®i nhanh nh­ vËy, t«i cÇn nghØ ng¬i.	M· Bé ®Òu kh«ng v÷ng, cßn ph¶i häc c«ng phu, ng­¬i tr­íc tiªn luyÖn c¬ b¶n kü ®i.	N¨m nay t«i ph¶i tiÕt kiÖm ®ñ vèn cña vî, tiÕt kiÖm tõng ®ång tiÒn.	§¹i ca kh«ng cã n÷ tö nµo thİch sao?	TiÓu n­¬ng tö võa råi lµ vŞ nµo vËy?	Nh÷ng g× bŞ mÊt th­êng kh«ng thÓ ®­îc t×m thÊy.
5	Nµy, nghe t«i nãi kh«ng, chóng ta ph¶i nghØ ng¬i!	T«i ®· thÊt b¹i, vµ t«i ®· bŞ bá r¬i bëi c¸c c« g¸i.	B¹n còng nªn t×m mét c« g¸i t×nh ®Çu ı hßa, haha!	ThËt kú l¹, gÇn ®©y «ng trêi lu«n kh«ng m­a!	T«i ®· tõng yªu mét ng­êi phô n÷, nh­ng cuèi cïng c« Êy ®· rêi bá t«i.	TÕt ta nhÊt ®Şnh ph¶i vÒ quª th¨m mét chót, cïng cha mÑ ta ¨n mét b÷a c¬m ®oµn viªn.
6	Tuy r»ng sinh ra lo¹n thÕ, nh­ng l¹i cho ta cµng nhiÒu c¬ héi cã thÓ thi triÓn b¶n lÜnh.	T¹i sao con ngùa cña b¹n kh«ng v©ng lêi nh­ vËy vµ ®¸ t«i mét cuéc chiÕn lín.	Lóc tr­íc ta trèn h«n kh«ng biÕt cã ®óng hay kh«ng?	§«n Hoµng lµ mét n¬i ®Çy søc m¹nh bİ Èn, chóng ta ph¶i ®Õn th¨m.	Cuéc sèng cña d©n chóng rÊt khã kh¨n, lµm hoµng ®Õ còng nªn cÇn kiÖm mét chót.	Kh«ng cã g× ®Æc biÖt x¶y ra ngµy h«m nay.
7	T¹i sao b¹n hµnh tÈu giang hå, sÏ kh«ng chØ v× sù giµu cã vµ thanh danh.	Anh ph¶i chŞu tr¸ch nhiÖm vÒ chi phİ y tÕ cña t«i, vÕt th­¬ng trªn ng­êi t«i ngµy cµng nhiÒu.	T«i ®· tõng cã mét con d©u nu«i con, vµ sau ®ã c« Êy ®· ®­îc th¶ ra bëi mÑ t«i.	§¹i Tèng l©m vµo chiÕn lo¹n, d©n chóng sèng trong n­íc s«i löa báng, hy väng sÏ kh«ng bao giê cã chiÕn tranh n÷a.	§èi phã víi nh÷ng ng­êi ¨n xin trong thŞ trÊn nhiÒu h¬n, hä biÕt rÊt nhiÒu ®iÒu.	Ta thÊy ®¹i ca gÇn ®©y ch¸n ¨n, ta ®i lÊy chót thuèc ®Õn cho ng­¬i uèng!
8	GÇn ®©y ®· kh«ng cßn nh×n thÊy bãng d¸ng cña ng­êi vµng n÷a.	Mòi tªn cña Chu Tiªn trÊn, lµ ta b¸i huynh ®Ö.	MÑ t«i lµ mét ng­êi rÊt tèt bông.	Chê ®¹i ca thµnh ®¹i hiÖp trong giang hå, ta còng cã thÓ d­¬ng danh thiªn h¹.	Vâ §ang mét c¸i mòi tr©u l·o ®¹o, tõng khi dÔ ta ta, ta nhÊt ®Şnh ph¶i b¸o thï.	Mïa nµy cã rÊt nhiÒu nÊm trªn nói, chóng t«i còng ®i h¸i mét sè.
9	Con ng­êi lµ s¾t, c¬m lµ thĞp, mét b÷a ¨n kh«ng ¨n ®ãi ho¶ng lo¹n.	LÇn sau ®i ngang qua Thóy Yªn M«n, ta muèn nh×n thªm hai lÇn, xem cã mü n÷ nµo kh«ng!	Ngµy ®ã ë kinh thµnh nh×n thÊy mét n÷ tö bªn c¹nh cã rÊt nhiÒu hé vÖ, kh«ng biÕt nµng lµ lai lŞch g×.	§iÒu t«i thİch ¨n nhÊt lµ b¸nh bao.	Lµ mét ng­êi ®µn «ng, chóng ta nªn siªng n¨ng h¬n.	LÇn tr­íc ta bŞ th­¬ng ®­îc ®¹i ca chiÕu cè.
10	H«m tr­íc khi ®¸nh mét nhãm kÎ trém, thÊy anh lÊy kh«ng İt tµi s¶n.	Nhí n¨m ®ã ta còng tõng lµ mét ®êi ®¹i hiÖp, hiÖn giê l­u l¹c ®Õn tïy tïng.	T«i ®Ò nghŞ b¹n röa s¹ch m¸u trªn tay vµ ¨n.	MÆc dï cê b¹c kh«ng tèt, nh­ng thØnh tho¶ng t«i còng sÏ thö tay.	Phô n÷ th­êng nãi r»ng hä muèn kÕt h«n víi mét ng­êi ®µn «ng cã tr¸ch nhiÖm, kh«ng biÕt tiªu chuÈn nµy lµ g×?	ChØ cÇn cã ta ë ®©y, nhÊt ®Şnh sÏ kh«ng ®Ó cho ®¹i ca bŞ th­¬ng.
