talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
1	L¹c Hoa cè ı, l­u thñy v« t×nh, ı tø nµy ng­¬i hiÓu kh«ng?	Chóng ta chØ lµ mét mèi quan hÖ b×nh th­êng.	Bçng nhiªn c¶m thÊy ca ca ®«i khi còng rÊt cã h×nh d¹ng!	Haha, t«i ®· chän mét chuçi anh ®µo hoang d·.	Bå T¸t phï hé, ta n¨m nay nhÊt ®Şnh ph¶i t×m ®­îc mét lang qu©n nh­ ı.	Hey hey, gÇn ®©y may m¾n cña t«i ®· ®­îc tèt, mua mét ®èng quÇn ¸o gi¸ rÎ.
2	ThËt nhµm ch¸n khi ë bªn anh.	B¾t ®Çu c¶m thÊy b¹n còng kh«ng ph¶i lµ kh«ng cã lîi thÕ.	T«i dÇn dÇn thİch cuéc sèng nµy.	Cã mét tæ chim Ğn nhá trªn c©y, thËt ®¸ng yªu!	Ta hoµi nghi cã ph¶i nguyÖt l·o quªn d¾t sîi chØ ®á cho ta hay kh«ng, nh­ thÕ nµo lu«n kh«ng t×m ®­îc ı trung nh©n.	Khi t«i cßn nhá, t«i th­êng ®i c©u c¸ víi em g¸i t«i bªn bê s«ng, cã vÎ nh­ nh÷ng g× ®· x¶y ra ngµy h«m qua.
3	B¹n ®· bao giê nh×n thÊy lò lôt, vµ mét sè ng­êi th©n cña t«i ®· chÕt trong mét trËn lôt lín.	T«i tù hái nÕu b¹n cã lı t­ëng?	Nói xanh, n­íc xanh, c¶nh quan nh­ vËy lµm cho t©m tr¹ng cña ng­êi d©n ®Æc biÖt b×nh tÜnh.	Bİ ng« trªn mÆt ®Êt ®· chİn, chóng ta cã muèn thõa dŞp ng­êi ta kh«ng chó ı lÊy mét c¸i kh«ng?	Bµn tay cña b¹n ®· sñi bät, chó ı ®Õn viÖc b¶o tr× oh.	B©y giê t«i c¶m thÊy rÊt h¹nh phóc vµ hµi lßng.
4	§õng c­êi víi t«i!	MÆc dï t«i kh«ng thİch ®ïa, nh­ng anh nãi t«i còng kh«ng phiÒn.	T«i thİch ngñ tr­a.	LÇn tr­íc chóng ta ngåi xe ngùa th¸i ®é phôc vô thËt kh«ng tèt, ngay c¶ ®i nhµ tranh còng kh«ng cho dõng l¹i.	T«i thùc sù muèn cã mét giÊc ngñ ng¾n.	Mét chiÕc l¸ rông võa råi r¬i trªn ®Çu anh.
5	Ng­êi ®µn «ng kh«ng thİch kh«ng lµm g× c¶.	§µn «ng nªn thÓ hiÖn t©m trİ réng lín cña hä, kh«ng ph¶i lµ mét gia ®×nh nhá.	Tr­íc kia t«i tõng lµm tiÓu nhŞ cho nhµ hµng, cßn tõng b¸n nghÖ thuËt, lµm tiÓu th­¬ng, ¸p tiªu qua.	LÇn sau vµo thŞ trÊn, chóng ta h·y ®Õn nhµ hµng ®Ó ¨n c¸ kho?	T«i muèn xem ph¸o hoa, kh«ng biÕt liÖu nã sÏ ®­îc ®Æt vµo ngµy 7 n¨m nay?	Cha t«i th­¬ng t«i nhÊt, lu«n lu«n mua cho t«i mét miÕng v¶i ®Ñp ®Ó lµm quÇn ¸o.
6	Mét anh hïng thùc sù sÏ kh«ng nhí nh÷ng g× anh ta mÊt trong mét thêi gian.	Anh kh«ng bao giê uèng n­íc sao?	T«i muèn ¨n mét b¸t m× bß.	Thªm mét İt cµ tİm hoa hång vµo trµ ®en cã t¸c dông an thÇn!	Tái t©y kh«ng nÊu chİn ¨n dÔ g©y ®au bông.	B¸nh c©u, haha yªu thİch cña t«i.
7	Ng­êi ®µn «ng khi ®Õn nhµm ch¸n lµ ng­êi İt quyÕn rò nhÊt.	§µn «ng còng cÇn ph¶i ch¨m sãc da.	Bét ngäc trai cña t«i ®· biÕn mÊt, t«i sÏ ®i ®Õn chî ®Ó mua mét sè.	Anh trai t«i ®ang nh×n ng­êi ®Ñp nµo?	Ah, t«i thÊy mét con mÌo ®en, t«i sÏ kh«ng ®­îc xui xÎo.	Anh ¬i, ng­êi h©m mé lµ g×, th­êng nghe ng­êi kh¸c nãi tõ nµy, nh­ng d­êng nh­ kh«ng ph¶i lµ lo¹i fan h©m mé mµ t«i ¨n.
8	§µn «ng ®Ó cho phô n÷ tr¶ tiÒn kh«ng bao giê cã thÓ giao phã cuéc sèng cña hä.	Nh×n anh tèi qu¸!	Muèn ¨n c¸nh gµ n­íng.	T«i thÊy mét vµ mét con mÌo ®ang chiÕn ®Êu ngay b©y giê, kh«ng thÓ ®¸nh b¹i con mÌo!	C« g¸i dŞu dµng ®­îc chµng trai yªu thİch nhÊt, ph¶i kh«ng?	Vâ c«ng cña ta tiÕn bé kh«ng İt, ngay c¶ chİnh ta còng c¶m gi¸c ®­îc.
9	T«i thİch sù im lÆng khi t«i ngñ, sau nµy b¹n ph¶i chó ı.	§øng trªn ®Ønh ®åi nh×n ra xa t©m tr¹ng vui vÎ h¬n rÊt nhiÒu.	ThŞt nai cho vµo löa n­íng cã vŞ ngon nhÊt.	Buæi tèi tr¨ng trßn, cã thÓ cïng ca ca ®em töu nhan hoan lµ ®­îc råi!	C« g¸i võa råi d­êng nh­ ®ang nh×n anh trai, ha ha!	Tu luyÖn vâ c«ng ®ång thêi, còng ph¶i th­êng xuyªn ch¹y bé.
10	ThËt lµ mét ng­êi ®µn «ng thiÕu t×nh c¶m, ®i du lŞch víi b¹n lµ rÊt ch¸n n¶n.	Nh×n k×a, nh÷ng b«ng hoa bªn ®­êng në rÊt ®Ñp.	Con ng­êi ta a, biÕt sèng nhÊt, ch­a bao giê tiªu bËy mét ®ång tiÒn.	T«i thİch kh¨n tay mµu hång ®µo.	VÉn lo l¾ng biÓu ca ta n¨m nay cã thÓ thi ®ç tó tµi hay kh«ng, h¾n thi m­êi n¨m.	T«i ®· gÆp mét ng­êi cao gÊp ®«i anh trai t«i, ®ã cã lÏ lµ mét ng­êi khæng lå.
