talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
1	ChuyÖn cña ®µn «ng, phô n÷ İt ®Ó ı!	Anh, kh«ng sao ®©u!	§ét nhiªn ph¸t hiÖn ra r»ng b¹n thùc sù rÊt ®Ñp!	Uïng ôc ~ chŞ ¬i, bông t«i kªu lªn.	Chia tay cã ®au ®ín kh«ng?	ChŞ ¬i, ®Ó chŞ b¶o vÖ chŞ m·i m·i ®­îc kh«ng?
2	T«i lµ b¹n anh hay c«ng cô cña anh?	Thùc sù kh«ng thİch nghi víi m«i tr­êng ë ®©y?	H«m nay anh thøc dËy d­êng nh­ kh«ng ch¶i tãc!	ChŞ ¬i, em cã yªu c« g¸i bªn c¹nh kh«ng?	T¹i sao nghÜ ®Õn viÖc rêi khái chŞ g¸i, tr¸i tim t«i rÊt khã chŞu!	Ngµy mai em g¸i anh muèn ®i ®©u?
3	Hõ! Anh ch­a bao giê coi t«i lµ mét chuyÖn!	Sao lóc nµo anh còng v« t×nh nh­ vËy!	H«m qua chóng ta ¨n b¸nh bao, anh nghÜ sao?	ChŞ ¬i, t«i cÇn nghØ ng¬i.	T«i sÏ lu«n lu«n b¶o vÖ em g¸i t«i, kh«ng ®Ó cho em g¸i bŞ tæn th­¬ng!	Vâ c«ng cña tû tû ®· lîi h¹i h¬n ta!
4	Anh kh«ng thÓ lµm phiÒn ®iÒu ®ã sao?	§õng nghÜ r»ng t«i sÏ ®­îc di chuyÓn bëi b¹n oh, t«i ®· kh«ng!	H«m qua TiÓu C­êng ®i trém d­a th× bŞ b¾t!	Trong thùc tÕ, em g¸i t«i vÉn thİch t«i rÊt nhiÒu!	ChŞ ¬i, chŞ cã thÊy tr s©u tãc tr«ng ®Ñp kh«ng?	ChŞ ph¶i nhí lóc nµo còng gióp ®ì ng­êi nghÌo!
5	T«i b¾t ®Çu muèn rêi bá anh!	Sao anh cø nh×n t«i suèt thêi gian qua!	Lı viªn ngo¹i kia tr«ng gièng nh­ mét con khØ.	¤i, «i! Lµm thÕ nµo chŞ g¸i ®á mÆt!	Trong rõng ®«i khi còng tån t¹i cá ®éc h¹i, h·y cÈn thËn oh!	Tû tû, ta ®ét nhiªn rÊt muèn trë vÒ th¨m mÉu th©n ta!
6	Nghiªm tóc ®Êy, mét ng­êi phô n÷ ®¸ng ghĞt nh­ anh t«i ch­a tõng thÊy qua!	Trªn thùc tÕ, b¸nh bao còng rÊt ngon!	T¹i sao qu¹ l¹i ®­îc coi lµ Thanh §¹o Phu?	Bİ mËt nãi víi b¹n oh, t«i ®· göi mét b«ng hoa nhá tõ c« g¸i bªn c¹nh.	Wow, giµy cña t«i ®· bŞ mßn, ®ã lµ thêi gian ®Ó thay thÕ mét cÆp míi!	T«i kh«ng biÕt c« g¸i bªn c¹nh nhµ t«i ®· kÕt h«n ch­a!
7	§õng nghÜ r»ng nã ®Ñp, b¹n cã thÓ b¸ ®¹o nh­ vËy!	T«i nãi cho anh biÕt, trªn thùc tÕ, anh kh«ng tÖ ®©u!	Cã thùc sù cã mét ng­êi tiªn sèng trªn bÇu trêi?	Bµ cña Xiao Wang rÊt ®¸ng th­¬ng, kh«ng thÓ nh×n thÊy m¾t!	H«m nay ®ét nhiªn muèn ¨n mét c¸i g× ®ã cay!	ChŞ ¬i, chŞ cã biÕt t×nh yªu nh­ thÕ nµo kh«ng?
8	T«i nãi cho anh biÕt, t«i ®ang tøc giËn!	T«i kh«ng thÓ thÓ hiÖn, ®«i khi b¹n kh«ng quan t©m!	KÓ tõ khi t«i t¸m tuæi, cha t«i ®· b¾t ®Çu d¹y t«i vâ c«ng.	ChŞ ¬i, chŞ cã thİch ca h¸t kh«ng?	Chê chóng ta b¾t ®­îc thæ phØ, liÒn ph¸t tµi!	Cã vÎ nh­ tÊt c¶ chóng ta ®Òu biÕt nhau ®ang nghÜ g×?
9	Chóa ¬i! Sao anh l¹i phiÒn phøc nh­ vËy?	Nh÷ng con khØ trªn nói qu¸ nghŞch ngîm, hä ®· c­íp mò cña «ng néi, kh«ng biÕt nÕu nã sÏ c­íp yÕm cña b¹n?	Archie thùc sù lµ mét kÎ hÌn nh¸t, ngay c¶ mét con chuét còng cã thÓ lµm anh ta sî h·i!	Tû tû nÕu kh«ng cè g¾ng, sÏ rÊt dÔ bŞ ng­êi ta b¾t n¹t nha.	H«m nay tû tû thËt xinh ®Ñp nha, muèn ®i gÆp ng­êi trong lßng sao?	T«i thÊy mét b«ng tai ®Ñp ngµy h«m ®ã oh, rÊt thİch hîp cho em g¸i t«i ®eo!
10	Hõ! Mét sè ng­êi cã da mÆt dµy h¬n t­êng!	NÕu nh­ cã thÓ ¨n mét b÷a thËt tèt, l¹i an t©m ngñ mét giÊc th× tèt biÕt bao.	T«i còng nhí quª h­¬ng cña t«i!	ThËt tuyÖt vêi khi t¾m trªn s«ng vµo ban ®ªm mïa hÌ!	TÕt Trung thu ë nh÷ng n¬i kh¸c nhau, cã nh÷ng c¸ch kh¸c nhau oh!	Sau khi nh×n thÊy biÓn, t«i biÕt t¹i sao mäi ng­êi thÒ sÏ sö dông ®¸ kh« biÓn!
