talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
1	Kh«ng cã c¶m xóc thùc sù gi÷a chóng t«i!	H«m nay thêi tiÕt tèt lµ thİch hîp cho mét b÷a ¨n ngoµi trêi.	Nãi cho anh biÕt mét vâ s­ bİ mËt cña Chu Tiªn TrÊn lµ t×nh nh©n ®Çu tiªn cña t«i.	T«i thùc sù thİch trß chuyÖn, b¹n nghÜ g×.	B¹n nªn xem xĞt l¹i b¶n th©n tr­íc khi chØ trİch ng­êi kh¸c.	§­îc ë bªn em g¸i t«i thùc sù lµ h¹nh phóc lín nhÊt trong cuéc ®êi t«i.
2	ThËt nhµm ch¸n khi ë bªn anh.	MÆt trêi thËt lín, t«i ®· r¸m n¾ng.	Ng­êi Thiªn Tranh cã thÓ chØ huy r¾n hæ mang nh¶y móa, kh«ng biÕt cã ®óng hay kh«ng.	NÕu cã thÓ tô héi víi rÊt nhiÒu cao thñ vâ l©m, th× tèt biÕt bao!	§«i khi con ng­êi kh«ng nªn qu¸ b­íng bØnh, nÕu thùc sù kh«ng thÓ, còng ph¶i häc c¸ch tõ bá.	B©y giê t«i c¶m thÊy m¹nh mÏ h¬n vµ m¹nh mÏ h¬n.
3	Ngo¹i trõ ®¸nh qu¸i luyÖn c«ng ng­¬i sÏ kh«ng lµm c¸i g× kh¸c sao!	Mét c« g¸i t¹i sao gia ®×nh b¹n chän ®Ó ®i bé giang hå?	ThËt thó vŞ khi thÊy nh÷ng con khØ ch¬i trß ë chî lÇn tr­íc.	§Èy bµi chİn, ta kh«ng häc c¸i nµy, ®¸nh cuéc sÏ hñy diÖt ng­êi, nhiÒu nhÊt lµ ch¬i cê song lôc.	Mïa ®«ng ë phİa b¾c ®­îc bao phñ bëi l¹nh vµ tuyÕt r¬i dµy.	T«i sÏ lµm hÕt søc m×nh ®Ó b¶o vÖ em g¸i t«i.
4	T«i kh«ng ph¶i lµ cç m¸y giÕt qu¸i vËt cña anh.	ThØnh tho¶ng chóng ta cã thÓ nghØ ng¬i, ph¶i kh«ng?	N¨m nay h¹n h¸n thiÕu m­a, c©y trång l¹i nî thu ho¹ch.	Than «i, bông t«i ®ãi mét lÇn n÷a, nghe nã.	Nghe nãi cã mét quèc gia cæ x­a tªn lµ §¹i TÇn, n¬i c¸c chiÕn sÜ ®Òu rÊt dòng m·nh.	T«i t×m thÊy mét ®iÒu thó vŞ mµ chim trªn c©y ®ang ¨n trong mét qu¶ t¸o.
5	NÕu anh phít lê t«i, t«i sÏ ph¸t ®iªn!	Dõng l¹i ®Ó xem phong c¶nh bªn ®­êng còng tèt!	Ngåi xe ngùa thËt sù lµ qu¸ xãc n¶y, ta thµ ®i.	Ta chØ biÕt lµm nh©n sÏ kh«ng ®uæi da, lµm sñi c¶o còng ®õng t×m ta.	Ta v« cïng kİnh nÓ n÷ ®Õ Vâ T¾c Thiªn, nµng lµ n÷ trung hµo kiÖt.	Quªn lµ n¨m nµo, ta v¹ch trÇn lÖnh truy n· cña quan phñ, khi b¾t ®­îc ng­êi ph¹m téi, bän hä c­ nhiªn mét ®ång tiÒn còng kh«ng cho ta.
6	Khu«n mÆt cña b¹n cho thÊy mét c¸i nh×n mÖt mái.	VÉn thİch trang phôc cña phô n÷ nhµ §­êng, ®Ñp h¬n nhiÒu so víi nhµ Tèng chóng ta.	ChŞ g¸i kh«ng cã ai thİch sao?	Uèng s÷a tr­íc khi ®i ngñ ®Ó lµm ®Ñp vµ an thÇn.	Ai ®ang lµm s­ên chua ngät, th¬m qu¸.	GhĞt nhÊt nh÷ng ng­êi kh«ng nãi vÒ tİn dông.
7	Nµy, chóng ta nghØ ng¬i mét chót ®­îc kh«ng?	Phong c¶nh cña Nga Nga rÊt hÊp dÉn, nh­ng c¸c ni c« sèng trªn nói lµ khã hiÓu.	Mïa hÌ m­a nhiÒu, chóng ta ph¶i chuÈn bŞ « giÊy dÇu.	D­a hÊu ph­¬ng B¾c lín vµ ngät, nh­ng nã ®· bŞ chiÕm ®ãng bëi ng­êi ®µn «ng vµng, kh«ng thÓ ¨n ®­îc.	Xin lçi, bông t«i l¹i kªu, võa míi ¨n mét c¸i b¸nh ch­ng.	Nã thùc sù th¬m, h­¬ng vŞ cña dÇu mÌ.
8	Ng­¬i h¼n lµ t¨ng c­êng luyÖn c«ng, lo¹i th©n thñ nµy kh«ng ®­îc.	H«m nay t«i ch¶i mét kiÓu tãc míi, khi nµo t«i còng gióp b¹n ch¶i mét c¸i.	Tr­íc ®©y t«i ®· häc vÏ, nh­ng t«i kh«ng bao giê vÏ phong c¶nh.	Bét ngäc trai lµ mét lo¹i thuèc bæ hiÕm, ®­îc cho lµ cã thÓ lµm tr¾ng da.	Mïa thu nµy t¸o nhµ «ng néi nªn chİn, thùc sù muèn ¨n mét vµi.	Nãi chuyÖn víi t«i ®i, chŞ ¬i, t«i h¬i ngét ng¹t!
9	Nã rÊt nguy hiÓm ®Ó ®i vµo ban ®ªm.	Mét sè c« g¸i xinh ®Ñp còng xuÊt gia lµm ni c«, thËt ®¸ng tiÕc.	T«i lu«n lu«n mang theo mét hoÆc hai kinh th¸nh, më ra vµ nh×n khi t«i ch¸n.	NÕu b¹n kh«ng thÓ ngñ vµo ban ®ªm, b¹n cã thÓ uèng mét sè trµ t¸o.	Trªn ®­êng ®i, nh×n thÊy kh«ng İt ng«i phÇn c« ®¬n, thËt kh«ng biÕt v× sao bän hä chÕt ë vïng hoang d·.	Vò khİ cña t«i gièng nh­ c¸nh tay cña t«i vµ kh«ng thÓ rêi khái anh ta trong mét kho¶nh kh¾c.
10	GÇn ®©y, nh÷ng tªn trém nói lu«n ë gÇn ®ã.	LÇn tr­íc t«i thÊy mét cËu bĞ ë cæng lµng thùc sù gièng nh­ mét ng­êi anh em hä mµ t«i ®· kh«ng nh×n thÊy trong nhiÒu n¨m.	T«i cã thÓ ®µn tú bµ, thİch nhÊt lµ võa ®µn võa h¸t.	Ng­êi Hå bªn ngoµi Ngäc M«n Quan sÏ s¶n xuÊt mét lo¹i r­îu vang ®á, nghe nãi kh«ng gièng víi r­îu th«ng th­êng.	Trong kh¸ch s¹n ®«i khi cã ®¹o tÆc lui tíi, nghe nãi vÉn lµ trém h¸i hoa.	Ta ®ang suy nghÜ, tÕt cho n­¬ng ta mét c¸i g× ®ã trë vÒ.
