TitleName	TitleId	Color	SpeicalGraphic	FaceId	AuraSkill	AuraSkillLevel	ExtSkill1	ExtSkillLevel1	ExtSkill2	ExtSkillLevel2	ExtSkill3	ExtSkillLevel3	ExtSkill4	ExtSkillLevel4	ExtSkill5	ExtSkillLevel5	Memo
Binh sÜ 	1	"236,73,242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HiÖu óy 	2	"236,73,242"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
Thèng LÜnh 	3	"236,73,242"	13	0	0	0	0	0	0	0	0	0	0	0	0	0	
Phã t­íng 	4	"236,73,242"	21	0	0	0	0	0	0	0	0	0	0	0	0	0	
§¹i t­íng 	5	"236,73,242"	32	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nguyªn So¸i 	6	"236,73,242"	43	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Tæng l·nh ®éi	7	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi ThËp ®¹i cao thñ 	8	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi ThiÕu L©m cao thñ 	9	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Thiªn V­¬ng cao thñ 	10	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi §­êng M«n cao thñ 	11	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Ngò §éc cao thñ 	12	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Nga Mi cao thñ 	13	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Thóy Yªn cao thñ 	14	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi C¸i Bang cao thñ 	15	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Thiªn NhÉn  cao thñ 	16	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Vâ §ang cao thñ 	17	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi C«n L«n cao thñ 	18	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi tuyÓn thñ 	19	"236,73,242"	82	0	0	0	0	0	0	0	0	0	0	0	0	0	
ThiÕu L©m kiÖt xuÊt	20	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Thiªn V­¬ng kiÖt xuÊt	21	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
§­êng M«n  kiÖt xuÊt	22	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ngò §éc kiÖt xuÊt	23	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nga Mi  kiÖt xuÊt	24	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Thóy Yªn kiÖt xuÊt	25	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
C¸i Bang kiÖt xuÊt	26	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Thiªn NhÉn  kiÖt xuÊt	27	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ §ang  kiÖt xuÊt	28	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
C«n L«n  kiÖt xuÊt	29	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi phãng viªn chiÕn tr­êng	30	"236,73,242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi nh©n viªn c«ng t¸c	31	"236,73,242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi ThiÕu L©m Qu¸n qu©n	32	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Thiªn V­¬ng  Qu¸n qu©n	33	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi §­êng M«n Qu¸n qu©n	34	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Ngò §éc Qu¸n qu©n	35	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Nga Mi Qu¸n qu©n	36	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Thóy Yªn Qu¸n qu©n	37	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi C¸i Bang Qu¸n qu©n	38	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Thiªn NhÉn Qu¸n qu©n	39	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Vâ §ang Qu¸n qu©n	40	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi C«n L«n Qu¸n qu©n	41	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi ThiÕu L©m ¸ qu©n	42	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Thiªn V­¬ng ¸ qu©n	43	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi §­êng M«n ¸ qu©n	44	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Ngò §éc ¸ qu©n	45	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Nga Mi ¸ qu©n	46	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Thóy Yªn ¸ qu©n	47	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi C¸i Bang ¸ qu©n	48	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Thiªn NhÉn ¸ qu©n	49	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Vâ §ang ¸ qu©n	50	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi C«n L«n ¸ qu©n	51	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi ThiÕu L©m h¹ng 3	52	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Thiªn V­¬ng h¹ng 3	53	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi §­êng M«n h¹ng 3	54	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Ngò §éc h¹ng 3	55	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Nga Mi h¹ng 3	56	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Thóy Yªn h¹ng 3	57	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi C¸i Bang h¹ng 3	58	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Thiªn NhÉn h¹ng 3	59	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Vâ §ang h¹ng 3	60	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi C«n L«n h¹ng 3	61	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Qu¸n qu©n Song ®Êu	62	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi ¸ qu©n Song ®Êu	63	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi h¹ng 3 Song ®Êu	64	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Qu¸n qu©n Ngò hµnh ®Êu	65	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi ¸ qu©n Ngò hµnh ®Êu	66	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi h¹ng 3 Ngò hµnh ®Êu	67	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Qu¸n qu©n ThËp ®Êu	68	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi ¸ qu©n ThËp ®Êu	69	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi h¹ng 3 ThËp ®Êu	70	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Qu¸n qu©n ThËp lôc ®Êu	71	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi ¸ qu©n ThËp lôc ®Êu	72	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi h¹ng 3 ThËp lôc ®Êu	73	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi Qu¸n qu©n toµn khu vùc	74	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi ¸ qu©n toµn khu vùc	75	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ L©m §¹i héi h¹ng 3 toµn khu vùc	76	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Thanh Long Vâ sÜ 	77	"236,73,242"	96	0	0	0	0	0	0	0	0	0	0	0	0	0	
Thanh Long KiÕm S¸t 	78	"236,73,242"	97	0	0	0	0	0	0	0	0	0	0	0	0	0	
Thanh Long Vò TuyÖt 	79	"236,73,242"	98	0	0	0	0	0	0	0	0	0	0	0	0	0	
Long ThÇn KiÕm 	80	"236,73,242"	99	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ l©m liªn ®Êu Qu¸n qu©n	81	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ l©m liªn ®Êu ¸ qu©n	82	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ l©m liªn ®Êu h¹ng 3	83	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ l©m liªn ®Êu h¹ng t­ 	84	"236,73,242"	82	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ l©m kiÖt xuÊt liªn ®Êu Qu¸n qu©n	85	"236,73,242"	84	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ l©m kiÖt xuÊt liªn ®Êu ¸ qu©n	86	"236,73,242"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ l©m kiÖt xuÊt liªn ®Êu h¹ng 3	87	"236,73,242"	83	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vâ l©m kiÖt xuÊt liªn ®Êu h¹ng t­ 	88	"236,73,242"	82	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tèng binh	89	"236,73,242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tèng HiÖu óy	90	"236,73,242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tèng Thèng lÜnh	91	"236,73,242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tèng Phã t­íng	92	"236,73,242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tèng §¹i t­íng	93	"236,73,242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kim binh	94	"236,73,242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kim HiÖu óy	95	"236,73,242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kim Thèng LÜnh	96	"236,73,242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kim Phã t­íng	97	"236,73,242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
